side	keyword	normalized_keyword	entity_id	display_name	matched_field	matched_text	match_method
source	voice	voice	ENT_00526B4566C2B240EA7D	voice-based conversational artificial intelligence	aliases	voice-based conversational artificial intelligence	normalized_substring
source	voice	voice	ENT_00526B4566C2B240EA7D	voice-based conversational artificial intelligence	display_name	voice-based conversational artificial intelligence	normalized_substring
source	voice	voice	ENT_007BE9FF74AEF1BBBA27	criticizing voices	aliases	criticizing voices	normalized_substring
source	voice	voice	ENT_007BE9FF74AEF1BBBA27	criticizing voices	display_name	criticizing voices	normalized_substring
source	voice	voice	ENT_00938BE524B6CE8C18D0	Stable voice-features	aliases	Stable voice-features	normalized_substring
source	voice	voice	ENT_00938BE524B6CE8C18D0	Stable voice-features	display_name	Stable voice-features	normalized_substring
source	sound	sound	ENT_01B9F8463333A1EB43E3	ultrasound examination	aliases	Ultrasound examination	normalized_substring
source	sound	sound	ENT_01B9F8463333A1EB43E3	ultrasound examination	aliases	ultrasound examination	normalized_substring
source	sound	sound	ENT_01B9F8463333A1EB43E3	ultrasound examination	display_name	ultrasound examination	normalized_substring
source	voice	voice	ENT_01EEFBDAFD486F8B63B5	Top 10 voice biomarkers	aliases	Top 10 voice biomarkers	normalized_substring
source	voice	voice	ENT_01EEFBDAFD486F8B63B5	Top 10 voice biomarkers	display_name	Top 10 voice biomarkers	normalized_substring
source	voice	voice	ENT_0237DFF3019CABD9C2FE	QV	aliases	quality of voice	normalized_substring
source	voice	voice	ENT_0250177F455539F4AFF8	volume of voice	aliases	volume of voice	normalized_substring
source	voice	voice	ENT_0250177F455539F4AFF8	volume of voice	display_name	volume of voice	normalized_substring
source	voice	voice	ENT_029A06B745FD30FC8C57	voice	aliases	Voice	normalized_substring
source	voice	voice	ENT_029A06B745FD30FC8C57	voice	aliases	voice	normalized_substring
source	voice	voice	ENT_029A06B745FD30FC8C57	voice	display_name	voice	normalized_substring
source	voice	voice	ENT_030DEC3769122DCC2EA9	tone of voice	aliases	tone of voice	normalized_substring
source	voice	voice	ENT_030DEC3769122DCC2EA9	tone of voice	display_name	tone of voice	normalized_substring
source	voice	voice	ENT_03696FBC41766D68F08B	Brain computer interface for emergency virtual voice	aliases	Brain computer interface for emergency virtual voice	normalized_substring
source	voice	voice	ENT_03696FBC41766D68F08B	Brain computer interface for emergency virtual voice	display_name	Brain computer interface for emergency virtual voice	normalized_substring
source	vocal	vocal	ENT_03D458EDD1792CE3004D	space and shape of the oral cavity and vocal tract	aliases	space and shape of the oral cavity and vocal tract	normalized_substring
source	vocal	vocal	ENT_03D458EDD1792CE3004D	space and shape of the oral cavity and vocal tract	display_name	space and shape of the oral cavity and vocal tract	normalized_substring
source	vocal	vocal	ENT_04D49CF935AB501DEFDA	turbulence caused by incomplete or loose adduction of the vocal folds	aliases	turbulence caused by incomplete or loose adduction of the vocal folds	normalized_substring
